Style|SKU|prediction|count
SET223|SET223-KR-NP-L|8|4
JNE3479|JNE3479-KR-M|8|4
SET289|SET289-KR-NP-XL|8|4
SET232|SET232-KR-PP-M|8|4
BTM030|BTM030-NP-XXXL|8|4
SET144|SET144-KR-NP-L|8|4
BTM047|BTM047-PP-XXXL|8|4
SET268|SET268-KR-NP-M|8|4
BTM048|BTM048-PP-XL|8|4
SET055|SET055-KR-NP-L|8|4
J0021|J0021-TP-XXXL|8|4
J0152|J0152-DR-XS|8|4
SET200|SET200-KR-NP-XL|8|4
JNE3479|JNE3479-KR-XL|8|4
SET197|SET197-KR-NP-L|8|4
BTM005|BTM005-XL|8|4
J0006|J0006-SET-L|8|4
SET275|SET275-KR-NP-XXXL|8|4
SET232|SET232-KR-PP-L|8|4
SET233|SET233-KR-PP-M|8|4
SET289|SET289-KR-NP-M|8|4
J0243|J0243-DR-XL|8|4
J0081|J0081-DR-XL|8|4
MEN5015|MEN5015-KR-S|8|4
JNE3405|JNE3405-KR-M|8|4
SET236|SET236-KR-PP-M|8|4
BTM029|BTM029-NP-XXL|8|4
J0086|J0086-DR-XXXL|8|4
SET144|SET144-KR-NP-M|8|4
SET200|SET200-KR-NP-M|8|4
SET268|SET268-KR-NP-XXL|8|4
J0159|J0159-DR-XS|8|4
SET196|SET196-KR-NP-S|8|4
SET198|SET198-KR-NP-XL|8|4
BTM046|BTM046-PP-L|8|4
JNE3576|JNE3576-KR-L|8|4
JNE3405|JNE3405-KR-L|8|4
SET193|SET193-KR-NP-XL|8|4
SET094|SET094-KR-NP-M|8|4
SET138|SET138-KR-PP-XL|8|4
SET144|SET144-KR-NP-XXL|8|4
BTM040|BTM040-PP-L|8|4
BTM048|BTM048-PP-XXL|8|4
SET196|SET196-KR-NP-XXL|8|4
SET200|SET200-KR-NP-XXL|8|4
BTM002|BTM002-XL|8|4
BTM044|BTM044-PP-XXXL|8|4
SET200|SET200-KR-NP-S|8|4
BTM021|BTM021-L|8|4
BTM047|BTM047-PP-L|8|4
JNE3676|JNE3676-TU-M|8|4
BTM046|BTM046-PP-XL|8|4
JNE3667|JNE3667-TP-XXL|8|4
SET193|SET193-KR-NP-M|8|4
BTM048|BTM048-PP-XXXL|8|4
SET055|SET055-KR-NP-XXL|8|4
J0328|J0328-KR-S|8|4
JNE3479|JNE3479-KR-L|8|4
SET198|SET198-KR-NP-S|8|4
SET233|SET233-KR-PP-XXL|8|4
BTM021|BTM021-XL|8|4
SET062|SET062-KR-SP-M|8|4
SET232|SET232-KR-PP-S|8|4
JNE3405|JNE3405-KR-XL|8|4
BTM030|BTM030-NP-XL|8|4
SET193|SET193-KR-NP-XXL|8|4
J0349|J0349-SET-S|8|4
BTM030|BTM030-NP-L|8|4
SET055|SET055-KR-NP-M|8|4
MEN5025|MEN5025-KR-S|8|4
BTM040|BTM040-PP-XXXL|8|4
BTM047|BTM047-PP-XXL|8|4
BTM005|BTM005-L|8|4
SET144|SET144-KR-NP-S|8|4
BTM030|BTM030-NP-XXL|8|4
J0021|J0021-TP-L|8|4
BTM029|BTM029-NP-XXXL|8|4
J0161|J0161-DR-XXXL|8|4
BTM002|BTM002-XXXL|8|4
JNE3676|JNE3676-TU-XL|8|4
SET198|SET198-KR-NP-XXL|8|4
SET043|SET043-KR-NP-XXXL|8|4
JNE3576|JNE3576-KR-XL|8|4
J0152|J0152-DR-S|8|4
BTM044|BTM044-PP-XL|8|4
SET188|SET188-KR-NP-M|8|4
BTM021|BTM021-XXL|8|4
BTM005|BTM005-XXXL|8|4
SET233|SET233-KR-PP-S|8|4
BTM027|BTM027-NP-XXL|8|4
SET289|SET289-KR-NP-XXXL|8|4
SET268|SET268-KR-NP-XS|8|4
BTM044|BTM044-PP-XXL|8|4
SET233|SET233-KR-PP-XL|8|4
SET232|SET232-KR-PP-XXL|8|4
MEN5013|MEN5013-KR-XL|8|4
SET232|SET232-KR-PP-XL|8|4
JNE3847|CMB5-JNE3847|8|4
BTM027|BTM027-NP-XXXL|8|4
BTM044|BTM044-PP-L|8|4
SET158|SET158-KR-PP-XXXL|8|4
SET200|SET200-KR-NP-L|8|4
SET188|SET188-KR-NP-L|8|4
SET188|SET188-KR-NP-XL|8|4
SET236|SET236-KR-PP-XL|8|4
SET144|SET144-KR-NP-XL|8|4
SET236|SET236-KR-PP-XXL|8|4
JNE3640|JNE3640-TP-XL|8|4
JNE3676|JNE3676-TU-L|8|4
J0097|J0097-KR-L|8|4
SET188|SET188-KR-NP-XXL|8|4
SET062|SET062-KR-SP-L|8|4
SET158|SET158-KR-PP-XL|8|4
SET262|SET262-KR-NP-XL|8|4
JNE3667|JNE3667-TP-L|8|4
SET186|SET186-KR-DH-XL|8|4
JNE3576|JNE3576-KR-M|8|4
SET264|SET264-KR-NP-S|8|4
SET275|SET275-KR-NP-XL|8|4
BTM021|BTM021-XXXL|8|4
J0021|J0021-TP-XXL|8|4
SET158|SET158-KR-PP-M|8|4
J0021|J0021-TP-XL|8|4
SET236|SET236-KR-PP-S|8|4
BTM005|BTM005-XXL|8|4
JNE3759|JNE3759-KR-M|8|4
JNE3567|JNE3567-KR-L|8|4
JNE3567|JNE3567-KR-XL|8|4
JNE3605|JNE3605-KR-L|8|4
JNE3605|JNE3605-KR-XL|8|4
JNE3560|JNE3560-KR-XL|8|4
JNE3732|JNE3732-KR-S|8|4
JNE3605|JNE3605-KR-XXL|8|4
JNE3567|JNE3567-KR-M|8|4
JNE3560|JNE3560-KR-L|8|4
JNE3759|JNE3759-KR-L|8|4
JNE3759|JNE3759-KR-S|8|4
CMB5|CMB5-JNE3847|8|4
JNE3839|CMB5-JNE3839|8|5
JNE3840|CMB5-JNE3840|8|5
CMB5|CMB5-JNE3840|8|5
CMB5|CMB5-JNE3839|8|5
SET198|SET198-KR-NP-M|8|6
JNE3640|JNE3640-TP-XXL|8|6
SET043|SET043-KR-NP-M|8|6
SET275|SET275-KR-NP-M|8|6
SET268|SET268-KR-NP-S|8|6
SET055|SET055-KR-NP-S|8|6
JNE3845|CMB5-JNE3845|8|7
CMB5|CMB5-JNE3845|8|7
SET043|SET043-KR-NP-XL|8|8
JNE3560|JNE3560-KR-M|8|8
SET110|SET110-KR-PP-S|8|8
SET196|SET196-KR-NP-L|8|8
JNE3844|CMB5-JNE3844|8|8
SET196|SET196-KR-NP-M.|8|8
JNE3640|JNE3640-TP-L|8|8
CMB5|CMB5-JNE3844|8|8
SET197|SET197-KR-NP-M|8|10
SET252|SET252-KR-PP-S.|8|12
JNE3857|CMB5-JNE3857|7|1
CMB5|CMB5-JNE3857|7|1
JNE3252|JNE3252-KR-XXXL|7|2
JNE3635|JNE3635-KR-M|7|2
J0138|J0138-KR-S|7|2
SET131|SET131-KR-NP-M|7|2
JNE3438|JNE3438-KR-L|7|2
JNE2251|JNE2251-KR-537-XXL|7|2
JNE3554|JNE3554-KR-S|7|2
JNE3665|JNE3665-TP-L|7|2
MEN5025|MEN5025-KR-XXXL|7|2
JNE3252|JNE3252-KR-S|7|2
JNE3373|JNE3373-KR-L|7|2
JNE3563|JNE3563-KR-XL|7|2
JNE3415|JNE3415-KR-XXXL|7|2
J0138|J0138-KR-M|7|2
JNE3673|JNE3673-TU-L|7|2
SET236|SET236-KR-PP-L|7|2
J0201|J0201-TP-L|7|2
J0171|J0171-DR-XXXL|7|2
J0207|J0207-DR-XXL|7|2
JNE3366|JNE3366-KR-1053-S|7|2
JNE3563|JNE3563-KR-L|7|2
JNE3674|JNE3674-TU-XXXL|7|2
JNE3438|JNE3438-KR-S|7|2
JNE2205|JNE2205-KR-467-XXL|7|2
JNE2251|JNE2251-KR-537-S|7|2
JNE3577|JNE3577-KR-M|7|2
JNE3686|JNE3686-TU-M|7|2
MEN5032|MEN5032-KR-XL|7|2
MEN5019|MEN5019-KR-M.|7|2
JNE3680|JNE3680-TU-L|7|2
J0138|J0138-KR-XXL|7|2
J0341|J0341-DR-L|7|2
JNE3516|JNE3516-KR-XL|7|2
JNE3364|JNE3364-KR-1051-L|7|2
J0177|J0177-KR-XL|7|2
J0098|J0098-TP-XXL|7|2
JNE3683|JNE3683-TU-M|7|2
JNE3625|JNE3625-DR-M|7|2
SET038|SET038-KR-PP-XL|7|2
SET044|SET044-KR-NP-XXXL|7|2
J0171|J0171-DR-L|7|2
J0171|J0171-DR-XL|7|2
JNE3438|JNE3438-KR-XXXL|7|2
JNE3673|JNE3673-TU-M|7|2
JNE3516|JNE3516-KR-S|7|2
JNE3829|CMB5-JNE3829|7|2
JNE3686|JNE3686-TU-XL|7|2
JNE3635|JNE3635-KR-XXL|7|2
SET227|SET227-KR-PP-XL|7|2
JNE2205|JNE2205-KR-467-M|7|2
JNE3577|JNE3577-KR-XXXL|7|2
JNE3364|JNE3364-KR-1051-S|7|2
J0001|J0001-DR-XS|7|2
SET044|SET044-KR-NP-XXL|7|2
JNE3364|JNE3364-KR-1051-XXXL|7|2
MEN5010|MEN5010-KR-XXXL|7|2
MEN5031|MEN5031-KR-XXXL|7|2
MEN5019|MEN5019-KR-S|7|2
MEN5019|MEN5019-KR-XXL|7|2
JNE2132|JNE2132-KR-398-XL|7|2
JNE3030|JNE3030-KR-XXXL|7|2
J0177|J0177-KR-M|7|2
J0118|J0118-TP-L|7|2
JNE3625|JNE3625-DR-XL|7|2
JNE3680|JNE3680-TU-M|7|2
J0190|J0190-TP-L|7|2
JNE2132|JNE2132-KR-398-L|7|2
J0138|J0138-KR-XL|7|2
JNE2205|JNE2205-KR-467-L|7|2
JNE3674|JNE3674-TU-XXL|7|2
J0177|J0177-KR-L|7|2
JNE3577|JNE3577-KR-L|7|2
JNE3415|JNE3415-KR-XL|7|2
J0123|J0123-TP-L|7|2
JNE3563|JNE3563-KR-XXXL|7|2
J0177|J0177-KR-XXXL|7|2
JNE3383|JNE3383-KR-XXXL|7|2
MEN5019|MEN5019-KR-XXXL|7|2
JNE3635|JNE3635-KR-S|7|2
JNE2205|JNE2205-KR-467-XXXL|7|2
J0292|J0292-TP-XL|7|2
SET131|SET131-KR-NP-XXXL|7|2
J0202|J0202-TP-XS|7|2
JNE3850|CMB5-JNE3850|7|2
JNE3605|JNE3605-KR-XL|7|2
MEN5032|MEN5032-KR-S|7|2
MEN5032|MEN5032-KR-M|7|2
J0335|J0335-DR-M|7|2
JNE3662|JNE3662-TP-L|7|2
JNE3438|JNE3438-KR-M|7|2
J0201|J0201-TP-XXL|7|2
JNE3522|JNE3522-KR-XL|7|2
J0197|J0197-TP-XL|7|2
SET044|SET044-KR-NP-M|7|2
J0188|J0188-KR-XXXL|7|2
J0152|J0152-DR-XS|7|2
JNE2113|JNE2113-KR-381-M|7|2
JNE3366|JNE3366-KR-1053-XXL|7|2
